frame,sim_time,x,y,z,yaw,pitch,roll,speed_mps,throttle,brake,steer,gear,acc_x,acc_y,acc_z,gnss_lat,gnss_lon,gnss_alt,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_compass
4175,0.0,335.02398681640625,305.8798522949219,-0.0013660620898008347,93.19377899169922,-0.3022836744785309,0.017080379649996758,1.0709766490335235,0.0,1.0,-0.022921122610569,1,0.3737024962902069,-9.389579772949219,0.012743568047881126,0.002754699412464155,0.00300686729711475,2.7985949516296387,-9.642828941345215,0.06155586242675781,9.74068832397461,0.00505675096064806,0.007995572872459888,-0.006090834736824036,3.1973347663879395
4176,0.05,335.0223388671875,305.9194641113281,-0.0011367225088179111,93.18087768554688,-0.3194001317024231,0.0029644279275089502,0.6165282845226592,0.0,1.0,-0.02256215550005436,1,0.3491627871990204,-9.082395553588867,0.008352089673280716,0.002756865489140352,0.002996474531633944,2.7988195419311523,-9.427717208862305,0.19991588592529297,9.7317476272583,0.004832009319216013,0.004616729449480772,-0.0034696811344474554,3.197108507156372
4177,0.1,335.0216369628906,305.93756103515625,-0.0009887885535135865,93.17503356933594,-0.3265035152435303,-0.009979255497455597,0.2054970103361414,0.0,1.0,-0.022376297041773796,1,0.30530306696891785,-8.21540355682373,0.004267501644790173,0.002750083508033664,0.003001474597323066,2.7989656925201416,-8.863120079040527,0.10967826843261719,9.728303909301758,0.0042789652943611145,0.0009737303480505943,-0.001160328509286046,3.197007417678833
4178,0.15000000000000002,335.0216369628906,305.939453125,-0.0009543037158437073,93.17430114746094,-0.32119646668434143,-0.0208129920065403,0.0029719855417073017,0.0,1.0,-0.02229161746799946,1,0.13551878929138184,-4.114419460296631,0.000792692881077528,0.002744101476639115,0.0030199600314925242,2.799001455307007,-6.778172969818115,0.12602853775024414,9.727812767028809,0.003333925735205412,-0.004750629421323538,1.7628917703405023e-05,3.196993589401245
4179,0.2,335.0216369628906,305.93975830078125,-0.0011207771021872759,93.17431640625,-0.29519394040107727,-0.028259269893169403,0.002479819813644414,0.0,1.0,-0.022308703511953354,1,-0.015032575465738773,-0.012152213603258133,-0.0019359588623046875,0.0027675887935541188,0.003006223450190836,2.7988414764404297,-1.0957460403442383,0.11286306381225586,9.726304054260254,0.00210370309650898,-0.01166960783302784,8.115792297758162e-06,3.196993589401245
4180,0.25,335.02154541015625,305.9401550292969,-0.0014480018289759755,93.17430877685547,-0.2531746029853821,-0.03228757157921791,0.002155697268917099,0.0,1.0,-0.022319085896015167,1,-0.014422867447137833,-0.008800582960247993,-0.003922081086784601,0.002734703679852129,0.0030239569805774794,2.7985241413116455,-0.30822211503982544,0.10032010078430176,9.74563217163086,0.0009623859077692032,-0.016359448432922363,3.174227458657697e-07,3.196993589401245
4181,0.30000000000000004,335.0215148925781,305.940673828125,-0.0018801307305693626,93.17430114746094,-0.20141543447971344,-0.0332946702837944,0.00199719903660969,0.0,1.0,-0.0223494004458189,1,-0.012693729251623154,-0.005514589138329029,-0.005212591495364904,0.002741666000052142,0.0030079302896550302,2.7981021404266357,-0.19298456609249115,0.03450500965118408,9.767489433288574,-2.8001144528388977e-05,-0.018940605223178864,-4.715151590062305e-06,3.1969945430755615
4182,0.35000000000000003,335.021484375,305.94122314453125,-0.0023653602693229914,93.17420959472656,-0.14553765952587128,-0.03179931640625,0.0019364074259455417,0.0,1.0,-0.022340746596455574,1,-0.010475126095116138,-0.0024014338850975037,-0.00583572406321764,0.0027502916722829634,0.003009617945108851,2.7976250648498535,-0.08144822716712952,0.06866253912448883,9.787835121154785,-0.0008273720741271973,-0.019653623923659325,-6.917300197528675e-06,3.1969923973083496
4183,0.4,335.021484375,305.9417724609375,-0.0028579900972545147,93.17417907714844,-0.09036339819431305,-0.028350830078125,0.0018949525815782594,0.0,1.0,-0.022340746596455574,1,-0.008059296756982803,0.0004054955206811428,-0.005954360589385033,0.0027548598401297497,0.003027169633937983,2.797137975692749,-0.00437309592962265,0.024267729371786118,9.80593204498291,-0.001415761187672615,-0.01881868951022625,-6.862723239464685e-06,3.1969923973083496
4184,0.45,335.0215148925781,305.9422912597656,-0.003321475815027952,93.17416381835938,-0.039676565676927567,-0.023620598018169403,0.001825384718920446,0.0,1.0,-0.022334683686494827,1,-0.005648810416460037,0.002762794028967619,-0.005565834231674671,0.002740278000307826,0.0030080409767105913,2.796677589416504,0.053661637008190155,0.01071101799607277,9.820661544799805,-0.0017919987440109253,-0.016800323501229286,-5.369044629333075e-06,3.196991443634033
