frame,sim_time,x,y,z,yaw,pitch,roll,speed_mps,throttle,brake,steer,gear,acc_x,acc_y,acc_z,gnss_lat,gnss_lon,gnss_alt,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_compass
5476,0.0,187.03663635253906,195.1884307861328,-0.003935871180146933,-179.5108642578125,-0.008305509574711323,-0.0028076162561774254,5.265979919679242,0.8500000238418579,0.0,-0.0014858662616461515,2,-1.6392326354980469,-0.011693909764289856,0.009950447827577591,0.0017598125993628442,0.001676953445095723,2.7960641384124756,0.928629457950592,0.0025413595139980316,9.813728332519531,0.00012143797357566655,-0.0032457453198730946,-0.002205646364018321,4.720926284790039
5477,0.05,186.77235412597656,195.1864776611328,-0.003958835732191801,-179.5094451904297,0.00089475471759215,-0.0029907221905887127,5.27838287708126,0.8500000238418579,0.0,-0.0014587424229830503,2,-0.24801254272460938,-0.007002502679824829,0.005971526261419058,0.0017615973261742657,0.0016641988061453755,2.796041250228882,1.2001948356628418,0.00023792870342731476,9.81138801574707,3.216126060578972e-05,-0.00285227014683187,0.0013669695472344756,4.720951080322266
5478,0.1,186.5045928955078,195.1845703125,-0.003980807960033417,-179.50694274902344,0.010962452739477158,-0.002899169921875,5.3541747742712715,0.8500000238418579,0.0,-0.0016365943010896444,2,-1.515817642211914,-0.008288547396659851,0.00239143380895257,0.0017546321435515067,0.001666797642949435,2.7960193157196045,1.3868260383605957,-0.011421921662986279,9.810126304626465,-6.469404615927488e-05,-0.0031371177174150944,0.007058707065880299,4.720994472503662
5479,0.15000000000000002,186.2346954345703,195.18251037597656,-0.003990421071648598,-179.50852966308594,0.019923660904169083,-0.0025939936749637127,5.395439046028436,0.8500000238418579,0.0,-0.001585820340551436,2,-0.8252525329589844,-0.007518604397773743,-0.000563240610063076,0.0017486165160723217,0.0016828567540142394,2.796009063720703,0.8587671518325806,0.03810889646410942,9.814388275146484,-0.00013548278366215527,-0.002652522874996066,-0.0035582862328737974,4.720966815948486
5480,0.2,185.9619903564453,195.18075561523438,-0.003996600862592459,-179.5215301513672,0.027983283624053,-0.0006713866023346782,5.506292940902306,0.8500000238418579,0.0,-0.008201349526643753,2,-2.2185420989990234,0.22352668642997742,-0.0028467178344726562,0.0017720960167570685,0.0016666690296417575,2.7960031032562256,1.1640830039978027,-0.08956911414861679,9.811074256896973,-0.0009516839636489749,-0.0031366602052003145,-0.007436404936015606,4.72074031829834
5481,0.25,185.6829376220703,195.17916870117188,-0.004026126582175493,-179.54542541503906,0.037484075874090195,0.0021412542555481195,5.60099680420303,0.8500000238418579,0.0,-0.0060515268705785275,2,-1.8943595886230469,0.05168810486793518,-0.0044727325439453125,0.0017392099431691088,0.0016818969775842416,2.795973062515259,2.505934953689575,-0.07019879668951035,9.798830032348633,-0.0009840285638347268,-0.002989832777529955,-0.013859155587852001,4.720323085784912
5482,0.30000000000000004,185.40005493164062,195.17774963378906,-0.004053592681884766,-179.563720703125,0.045468565076589584,0.004669421352446079,5.690702496572074,0.8500000238418579,0.0,-0.005507119931280613,2,-1.7942619323730469,0.02825126051902771,-0.005286788567900658,0.001746176514304805,0.001663330148242601,2.795945405960083,1.577168345451355,-0.08775175362825394,9.80960464477539,-0.0008073025965131819,-0.0026152918580919504,-0.001721054781228304,4.720003604888916
5483,0.35000000000000003,185.11358642578125,195.17630004882812,-0.004076404497027397,-179.5909423828125,0.05149279162287712,0.00668741762638092,5.77697954956637,0.8500000238418579,0.0,-0.005166877061128616,2,-1.7256546020507812,0.02282720059156418,-0.005540275014936924,0.001754807808740182,0.0016624457147130054,2.79592227935791,1.478814959526062,-0.006639746017754078,9.810470581054688,-0.0006437547272071242,-0.0021170335821807384,-0.008966655470430851,4.7195281982421875
5484,0.4,184.82431030273438,195.17494201660156,-0.004086628090590239,-179.6137237548828,0.05477811396121979,0.008034612983465195,5.826846496483523,0.8500000238418579,0.0,-0.0045915828086435795,2,-0.9974002838134766,0.013013146817684174,-0.005267906002700329,0.001759382558679738,0.0016773993975774386,2.795912027359009,1.1890188455581665,-0.05933031439781189,9.814094543457031,-0.0003924712655134499,-0.0011003295658156276,-0.007402185350656509,4.719130992889404
5485,0.45,184.53146362304688,195.173583984375,-0.004091816022992134,-179.63218688964844,0.0562397763133049,0.008708016015589237,5.862584889448693,0.8500000238418579,0.0,-0.004176717717200518,2,-0.7148170471191406,0.011105649173259735,-0.004625319968909025,0.0017448060668086443,0.0016556399610598062,2.7959065437316895,1.46950364112854,-0.025862842798233032,9.810433387756348,-0.0001423736975993961,7.347187056438997e-05,-0.0047960588708519936,4.718808174133301
