frame,tipo,outro
829,collision,static.static
830,collision,static.static
831,collision,static.static
832,collision,static.static
833,collision,static.static
834,collision,static.static
835,collision,static.static
836,collision,static.static
837,collision,static.static
838,collision,static.static
839,collision,static.static
840,collision,static.static
841,collision,static.static
842,collision,static.static
843,collision,static.static
844,collision,static.static
845,collision,static.static
846,collision,static.static
847,collision,static.static
848,collision,static.static
849,collision,static.static
850,collision,static.static
851,collision,static.static
852,collision,static.static
853,collision,static.static
854,collision,static.static
855,collision,static.static
856,collision,static.static
857,collision,static.static
858,collision,static.static
859,collision,static.static
860,collision,static.static
861,collision,static.static
862,collision,static.static
863,collision,static.static
864,collision,static.static
865,collision,static.static
866,collision,static.static
867,collision,static.static
868,collision,static.static
869,collision,static.static
870,collision,static.static
871,collision,static.static
872,collision,static.static
873,collision,static.static
874,collision,static.static
875,collision,static.static
876,collision,static.static
877,collision,static.static
878,collision,static.static
879,collision,static.static
880,collision,static.static
881,collision,static.static
882,collision,static.static
883,collision,static.static
884,collision,static.static
885,collision,static.static
886,collision,static.static
887,collision,static.static
888,collision,static.static
889,collision,static.static
890,collision,static.static
891,collision,static.static
892,collision,static.static
893,collision,static.static
894,collision,static.static
895,collision,static.static
896,collision,static.static
897,collision,static.static
898,collision,static.static
899,collision,static.static
900,collision,static.static
901,collision,static.static
902,collision,static.static
903,collision,static.static
904,collision,static.static
905,collision,static.static
906,collision,static.static
907,collision,static.static
908,collision,static.static
909,collision,static.static
910,collision,static.static
911,collision,static.static
912,collision,static.static
913,collision,static.static
914,collision,static.static
915,collision,static.static
916,collision,static.static
917,collision,static.static
918,collision,static.static
919,collision,static.static
920,collision,static.static
921,collision,static.static
922,collision,static.static
923,collision,static.static
924,collision,static.static
925,collision,static.static
926,collision,static.static
927,collision,static.static
928,collision,static.static
929,collision,static.static
930,collision,static.static
931,collision,static.static
932,collision,static.static
933,collision,static.static
934,collision,static.static
935,collision,static.static
936,collision,static.static
937,collision,static.static
938,collision,static.static
939,collision,static.static
940,collision,static.static
941,collision,static.static
942,collision,static.static
943,collision,static.static
944,collision,static.static
945,collision,static.static
946,collision,static.static
947,collision,static.static
948,collision,static.static
949,collision,static.static
