frame,sim_time,x,y,z,yaw,pitch,roll,speed_mps,throttle,brake,steer,gear,acc_x,acc_y,acc_z,gnss_lat,gnss_lon,gnss_alt,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_compass,wp_x,wp_y,wp_road_id,wp_lane_id,odom_m,cloudiness,precipitation,sun_altitude,n_collisions,n_lane_invasions
1487,0.0,396.1824645996094,97.43647003173828,-0.004032230470329523,-88.72366333007812,0.0032580001279711723,0.021765748038887978,5.303169064127796,0.8500000238418579,0.0,-0.013868328183889389,2,-0.04934847354888916,-0.248260498046875,0.009204483591020107,0.0008813408855107408,0.0035565072272723958,2.7959673404693604,0.5011519193649292,-0.09490406513214111,9.82149887084961,-0.0016212675254791975,-0.002715728245675564,-0.019498569890856743,0.02227753959596157,396.2896423339844,97.43656158447266,8,-1,0.0,5.0,0.0,45.0,0,2
1488,0.05,396.1864318847656,97.17041778564453,-0.004035892430692911,-88.76268768310547,0.010532150976359844,0.02505107782781124,5.310465803369572,0.8500000238418579,0.0,-0.012957115657627583,2,-0.04495963454246521,-0.1465606689453125,0.00531806843355298,0.0008807551684257694,0.0035461608106754938,2.795963764190674,0.6380767226219177,-0.06804722547531128,9.818995475769043,-0.0008245976641774178,-0.0020658117718994617,-0.00654407637193799,0.021595481783151627,396.2895812988281,97.1705093383789,8,-1,0.26608182388701473,5.0,0.0,45.0,0,2
1489,0.1,396.1903076171875,96.90089416503906,-0.004037494771182537,-88.80032348632812,0.01846200041472912,0.02622445486485958,5.418191501827364,0.8500000238418579,0.0,-0.012274038977921009,2,-0.0035744905471801758,-2.1547508239746094,0.0018875137902796268,0.0008713886883575129,0.003551196803605734,2.79596209526062,1.3732668161392212,-0.13320398330688477,9.810358047485352,-0.00015123793855309486,-0.0027949707582592964,-0.016504578292369843,0.020939622074365616,396.2895202636719,96.9009780883789,8,-1,0.5356333094442022,5.0,0.0,45.0,0,2
1490,0.15000000000000002,396.1942138671875,96.62925720214844,-0.004026889801025391,-88.83948516845703,0.025114603340625763,0.025566937401890755,5.4334054729206684,0.8500000238418579,0.0,-0.011531693860888481,2,-0.030357688665390015,-0.3046989440917969,-0.0009571085684001446,0.000862953319866812,0.003569712131433739,2.7959725856781006,0.8789201378822327,-0.032099127769470215,9.814446449279785,0.00044158368837088346,-0.0018724285764619708,-0.015456232242286205,0.02025371976196766,396.2894592285156,96.62934112548828,8,-1,0.8072983576147486,5.0,0.0,45.0,0,2
1491,0.2,396.1980895996094,96.35582733154297,-0.00400621397420764,-88.87643432617188,0.030080150812864304,0.023417135700583458,5.513843014915277,0.8500000238418579,0.0,-0.010761992074549198,2,-0.0011517107486724854,-1.608896255493164,-0.0030931481160223484,0.0008839943617202442,0.003556005718044421,2.7959930896759033,0.7494206428527832,-0.04861348867416382,9.813495635986328,0.0008857273496687412,-0.0019902330823242664,-0.014890993945300579,0.019610749557614326,396.2893981933594,96.35591888427734,8,-1,1.0807556951303643,5.0,0.0,45.0,0,2
1492,0.25,396.2020568847656,96.07792663574219,-0.003999118693172932,-88.91948699951172,0.03548965975642204,0.020312828943133354,5.580008749246716,0.8500000238418579,0.0,-0.010093373246490955,2,-0.00566527247428894,-1.3234901428222656,-0.004535482730716467,0.0008486286226720366,0.003573771336119806,2.7960002422332764,1.7934435606002808,-0.02718484401702881,9.803726196289062,0.0011746984673663974,-0.001697683590464294,-0.015490656718611717,0.018857672810554504,396.2893371582031,96.07801055908203,8,-1,1.358684707790197,5.0,0.0,45.0,0,2
1493,0.30000000000000004,396.2059631347656,95.79873657226562,-0.003979511093348265,-88.96234130859375,0.03822856768965721,0.01661544479429722,5.601042975819484,0.8500000238418579,0.0,-0.009187123738229275,2,-0.025336742401123047,-0.42102813720703125,-0.005288505926728249,0.000853101267151435,0.0035577767328861037,2.7960197925567627,0.565551221370697,-0.06297922134399414,9.814451217651367,0.0013016305165365338,-0.0007098153000697494,-0.01721315085887909,0.01810619980096817,396.2892761230469,95.79882049560547,8,-1,1.637902096813713,5.0,0.0,45.0,0,2
1494,0.35000000000000003,396.2096252441406,95.51761627197266,-0.003956775646656752,-88.99363708496094,0.03918479382991791,0.012658879160881042,5.649987104478584,0.8500000238418579,0.0,-0.008397278375923634,2,-0.004888623952865601,-0.9790134429931641,-0.00540504464879632,0.0008592203970548109,0.0035594953790135885,2.7960424423217773,0.8200032114982605,-0.10646778345108032,9.810590744018555,0.0013684171717613935,-0.0002887197770178318,-0.007716529071331024,0.01756138913333416,396.2892150878906,95.51769256591797,8,-1,1.919046248952582,5.0,0.0,45.0,0,2
1495,0.4,396.21343994140625,95.23332977294922,-0.003943042829632759,-89.03963470458984,0.039710719138383865,0.008870139718055725,5.723774745505823,0.8500000238418579,0.0,-0.007833180949091911,2,-0.0024853646755218506,-1.4758872985839844,-0.005130385980010033,0.0008612533630552245,0.0035770794297852134,2.796056032180786,1.2774560451507568,0.027188777923583984,9.805684089660645,0.0012431694194674492,-0.0003078737063333392,-0.01830306090414524,0.016758987680077553,396.2891540527344,95.23340606689453,8,-1,2.203358340574151,5.0,0.0,45.0,0,2
1496,0.45,396.21710205078125,94.9456787109375,-0.00393754942342639,-89.06999206542969,0.039881471544504166,0.005416119005531073,5.7500395949742655,0.8500000238418579,0.0,-0.0068275355733931065,2,-0.00469401478767395,-0.5253887176513672,-0.004419899079948664,0.0008441044393862088,0.0035579828602465197,2.7960617542266846,1.3561609983444214,-0.05283463001251221,9.805693626403809,0.001164266373962164,0.00047168420860543847,-0.005256029311567545,0.01622772589325905,396.2890930175781,94.94574737548828,8,-1,2.491032712949488,5.0,0.0,45.0,0,2
