frame,sim_time,x,y,z,yaw,pitch,roll,speed_mps,throttle,brake,steer,gear,acc_x,acc_y,acc_z,gnss_lat,gnss_lon,gnss_alt,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_compass,wp_x,wp_y,wp_road_id,wp_lane_id,odom_m,cloudiness,precipitation,sun_altitude,n_collisions,n_lane_invasions
1469,0.0,236.00978088378906,-2.0120322704315186,-0.003934268839657307,-179.72923278808594,-0.007205849047750235,-0.0022277827374637127,5.2345546870930635,0.8500000238418579,0.0,0.00017573311924934387,2,-0.15870094299316406,-0.013927891850471497,0.010010909289121628,-1.2378446140620082e-05,0.0021170632787249817,2.79606556892395,0.5889212489128113,0.0318901352584362,9.817572593688965,6.367847527144477e-05,-0.002730682259425521,-0.007873944006860256,4.717114448547363,236.00892639160156,-2.0358126163482666,1,-1,0.0,5.0,0.0,45.0,0,0
1470,0.05,235.7450408935547,-2.0133559703826904,-0.003966541029512882,-179.7371063232422,0.002315433928743005,-0.0020751953125,5.316874938708528,0.8500000238418579,0.0,-0.0006155604496598244,2,-1.6465568542480469,0.028227493166923523,0.0062492359429597855,-1.0588247111596354e-05,0.002104304525969816,2.7960331439971924,1.5802394151687622,-0.0374407097697258,9.808375358581543,-0.00012872990919277072,-0.0034198490902781487,-0.002829075325280428,4.716977119445801,235.74417114257812,-2.0358409881591797,1,-1,0.2647432994635704,5.0,0.0,45.0,0,0
1471,0.1,235.47488403320312,-2.0146684646606445,-0.004009723663330078,-179.74403381347656,0.014077018946409225,-0.0017089841421693563,5.401966274085419,0.8500000238418579,0.0,0.00017573311924934387,2,-1.7017841339111328,-0.013010464608669281,0.002771378494799137,-1.7548086073233e-05,0.0021068826566159955,2.795990228652954,2.132385015487671,-0.00969175435602665,9.80510139465332,-0.00013818057777825743,-0.0036568522918969393,0.0003178688639309257,4.716856479644775,235.47402954101562,-2.035869598388672,1,-1,0.5349033480204273,5.0,0.0,45.0,0,0
1472,0.15000000000000002,235.20077514648438,-2.015730381011963,-0.004048709757626057,-179.7496337890625,0.02566101960837841,-0.00033569333027116954,5.489155318961514,0.8500000238418579,0.0,-0.003941510803997517,2,-1.7443561553955078,0.1420069932937622,-0.00011405907571315765,-2.3555327388548987e-05,0.002122905017677391,2.7959508895874023,1.5740269422531128,-0.08734890818595886,9.810858726501465,-0.000636788725387305,-0.00359643017873168,-0.005491521209478378,4.716758728027344,235.19992065429688,-2.0358989238739014,1,-1,0.8090142916993138,5.0,0.0,45.0,0,0
1473,0.2,234.92303466796875,-2.016641139984131,-0.004079837817698717,-179.75955200195312,0.036015585064888,0.001536527299322188,5.591179566494263,0.8500000238418579,0.0,-0.0027679060585796833,2,-2.0406150817871094,0.039077289402484894,-0.0023900996893644333,-6.822259172053444e-08,0.002106673275576613,2.795919418334961,1.4959430694580078,-0.05706237256526947,9.812185287475586,-0.0006559657631441951,-0.0035492973402142525,-0.005031263921409845,4.716585636138916,234.92218017578125,-2.03592848777771,1,-1,1.0867562634788663,5.0,0.0,45.0,0,0
1474,0.25,234.6419219970703,-2.017472743988037,-0.004100360907614231,-179.76748657226562,0.04438939690589905,0.003193451091647148,5.664103120795224,0.8500000238418579,0.0,-0.0024246922694146633,2,-1.4585208892822266,0.015595443546772003,-0.0039773923344910145,-3.294698989009892e-05,0.0021218818886301356,2.795898675918579,1.3874478340148926,-0.04169356822967529,9.813145637512207,-0.0005298389587551355,-0.0029002856463193893,-0.0016430593095719814,4.716446876525879,234.64105224609375,-2.0359585285186768,1,-1,1.3678701644245017,5.0,0.0,45.0,0,0
1475,0.30000000000000004,234.3568572998047,-2.01829195022583,-0.004115543328225613,-179.77662658691406,0.05100101977586746,0.0044553703628480434,5.697738408870642,0.8500000238418579,0.0,-0.0023053851909935474,2,-0.6727409362792969,0.01217605546116829,-0.0049041761085391045,-2.597447730587737e-05,0.0021032949016382466,2.7958831787109375,1.6186726093292236,-0.019539374858140945,9.810750007629395,-0.0003876879927702248,-0.0014957390958443284,-0.004737118724733591,4.716287612915039,234.3560028076172,-2.0359890460968018,1,-1,1.6529360387869068,5.0,0.0,45.0,0,0
1476,0.35000000000000003,234.06915283203125,-2.0190789699554443,-0.004116382449865341,-179.78314208984375,0.05475762486457825,0.005217735189944506,5.798915207354718,0.8500000238418579,0.0,-0.002069266512989998,2,-2.0235443115234375,0.00044500455260276794,-0.005214500706642866,-1.733673576661301e-05,0.00210239840094464,2.795882225036621,1.129286766052246,-0.0277106910943985,9.814704895019531,-0.00019900029292330146,-0.0013123339740559459,-0.00020361572387628257,4.716174125671387,234.06829833984375,-2.036019802093506,1,-1,1.9406415830102528,5.0,0.0,45.0,0,0
1477,0.4,233.77728271484375,-2.0199134349823,-0.004117527045309544,-179.79676818847656,0.05715502053499222,0.005625443533062935,5.863753151657,0.8500000238418579,0.0,-0.0021547055803239346,2,-1.2967967987060547,0.013752561062574387,-0.004987143911421299,-1.2756777150370486e-05,0.0021173284979867407,2.7958810329437256,1.7098177671432495,0.005429187789559364,9.808222770690918,-0.00011700730101438239,-0.0005342130898497999,-0.008573807775974274,4.715935707092285,233.77642822265625,-2.036050796508789,1,-1,2.2325128930750244,5.0,0.0,45.0,0,0
1478,0.45,233.48158264160156,-2.0207135677337646,-0.004114551469683647,-179.8077392578125,0.057954151183366776,0.005640670657157898,5.93114085341892,0.8500000238418579,0.0,-0.0016771078808233142,2,-1.3477611541748047,0.0013635680079460144,-0.004498290829360485,-2.7327989638752733e-05,0.002095543007362869,2.7958836555480957,1.5598430633544922,-0.027494803071022034,9.80998706817627,3.96368996007368e-05,0.0001446646056137979,-0.0044367569498717785,4.715744495391846,233.480712890625,-2.0360825061798096,1,-1,2.5282140488520266,5.0,0.0,45.0,0,0
1479,0.5,233.182373046875,-2.021495819091797,-0.004106998443603516,-179.8166961669922,0.05713452771306038,0.005304424557834864,6.009978384950494,0.8500000238418579,0.0,-0.001494868891313672,2,-1.5767574310302734,0.0011066347360610962,-0.0036979676224291325,-9.522622334150723e-06,0.0021005993422049387,2.795891284942627,1.4497308731079102,-0.019577205181121826,9.810511589050293,0.00014555365487467498,0.0004995375056751072,-0.004745346028357744,4.715588092803955,233.1815185546875,-2.036114454269409,1,-1,2.827424666132933,5.0,0.0,45.0,0,0
1480,0.55,232.88072204589844,-2.0222601890563965,-0.004087924957275391,-179.82449340820312,0.05430683121085167,0.004719863645732403,6.061050365404374,0.8500000238418579,0.0,-0.0014079684624448419,2,-1.0214519500732422,0.0043131038546562195,-0.00279579171910882,-4.311999394453461e-06,0.002094816548815991,2.7959108352661133,1.0292612314224243,-0.01580783724784851,9.813793182373047,0.0002188546786783263,0.0011044017737731338,-0.004162352532148361,4.715452194213867,232.87986755371094,-2.036146640777588,1,-1,3.129076635547364,5.0,0.0,45.0,0,0
1481,0.6000000000000001,232.576416015625,-2.0229668617248535,-0.004061603453010321,-179.82664489746094,0.050126753747463226,0.003951078746467829,6.101518763643264,0.8500000238418579,0.0,-0.001158227096311748,2,-0.8093738555908203,0.0017806701362133026,-0.0018205639207735658,-2.227411171849478e-05,0.0020923151652026575,2.7959370613098145,1.0884991884231567,-0.03050655499100685,9.811705589294434,0.00029313284903764725,0.0016874929424375296,0.001625541364774108,4.715414524078369,232.5755615234375,-2.0361790657043457,1,-1,3.433383486352663,5.0,0.0,45.0,0,0
1482,0.65,232.2694854736328,-2.023646831512451,-0.004032154101878405,-179.82766723632812,0.045297812670469284,0.003138909814879298,6.177277601264341,0.8500000238418579,0.0,-0.0013496332103386521,2,-1.51519775390625,0.00808747485280037,-0.0009614945156499743,-1.4194769062772636e-05,0.002091493744122462,2.795966625213623,1.077716588973999,-0.01539609208703041,9.81055736541748,0.00027435182710178196,0.0014921168331056833,-0.002104556653648615,4.715396881103516,232.26861572265625,-2.0362117290496826,1,-1,3.74031478154188,5.0,0.0,45.0,0,0
1483,0.7000000000000001,231.95965576171875,-2.0242602825164795,-0.004003925248980522,-179.82022094726562,0.04042105749249458,0.0022149079013615847,6.186665836660915,0.8500000238418579,0.0,-0.0009806097950786352,2,-0.18774032592773438,-0.011472497135400772,-0.00016841921024024487,-2.5298436206402827e-05,0.0020997459230416723,2.7959954738616943,1.156823754310608,-0.03297150135040283,9.808794975280762,0.0003507272922433913,0.0022247142624109983,0.0052878097631037235,4.715526580810547,231.95880126953125,-2.0362448692321777,1,-1,4.050145100760134,5.0,0.0,45.0,0,0
1484,0.75,231.64662170410156,-2.02487850189209,-0.00397974019870162,-179.8123016357422,0.03615901991724968,0.0013045178493484855,6.261762668874789,0.8500000238418579,0.0,-0.0014162251027300954,2,-1.5019416809082031,0.0006393156945705414,0.00047206878662109375,-2.192681003431977e-05,0.0020706346760460057,2.7960195541381836,1.2961899042129517,-0.0021835495717823505,9.8073091506958,0.00030589784728363156,0.00181194965261966,0.0018592685228213668,4.715664863586426,231.645751953125,-2.036278247833252,1,-1,4.363179768845758,5.0,0.0,45.0,0,0
1485,0.8,231.33203125,-2.025534152984619,-0.003949603997170925,-179.8100128173828,0.03133007511496544,0.0005605357582680881,6.3091589271826125,0.8500000238418579,0.0,-0.0017760171322152019,2,-0.9479427337646484,0.007177628576755524,0.0008722307393327355,-1.7566206888536343e-05,0.0020663386874842336,2.7960500717163086,0.6254227757453918,0.016129430383443832,9.812237739562988,0.00023394296295009553,0.0016584888799116015,0.00017844312242232263,4.715704917907715,231.3311767578125,-2.0363118648529053,1,-1,4.677770906181479,5.0,0.0,45.0,0,0
1486,0.8500000000000001,231.01571655273438,-2.0262162685394287,-0.003916797693818808,-179.81106567382812,0.026548944413661957,-3.051757266803179e-05,6.346689406209939,0.8500000238418579,0.0,-0.0016456834273412824,2,-0.7506084442138672,-0.0013530813157558441,0.0011962890857830644,-2.8720301184257028e-05,0.002077409620602826,2.7960827350616455,0.6845875978469849,0.01151297241449356,9.81062126159668,0.00018916060798801482,0.001549015985801816,-0.00039111729711294174,4.715686321258545,231.01486206054688,-2.0363457202911377,1,-1,4.994086338918919,5.0,0.0,45.0,0,0
